АвтоСнаб Проверка накладной MANUAL-20260624165123

Накладная
Поставщик,Номер накладной,Дата накладной,Заведение / точка доставки,Склад / подразделение,Итоговая сумма,Комментарий пользователя
"ООО ""ВИКТОРИЯ БАЛТИЯ""",,2026-06-23,,,447.3,

Товарные позиции
№,Наименование товара,Количество,Ед. изм.,Цена,Сумма без НДС,НДС %,НДС сумма,Сумма с НДС,Комментарий пользователя
1,КЕФИР ФЕРМЕРСКИЙ 800Г,1.0,шт,72.9,72.9,,,72.9,
2,КЕФИР ФЕРМЕРСКИЙ 800Г,1.0,шт,72.9,72.9,,,72.9,
3,КЕФИР ФЕРМЕРСКИЙ 800Г,1.0,шт,72.9,72.9,,,72.9,
4,КЕФИР ФЕРМЕРСКИЙ 800Г,1.0,шт,72.9,72.9,,,72.9,
5,КЕФИР ФЕРМЕРСКИЙ 800Г,1.0,шт,72.9,72.9,,,72.9,
6,КЕФИР ФЕРМЕРСКИЙ 800Г,1.0,шт,72.9,72.9,,,72.9,
7,ПАКЕТ-МАЙКА ВИКТОРИЯ 65*40СМ,1.0,шт,9.9,9.9,,,9.9,

