АвтоСнаб Накладные

Накладные
Время загрузки документа,ID документа,Индикатор дубля документа,Форма документа,Дата документа,№ Документа,Поставщик,ИНН Поставщика,Грузополучатель,Получатель,Торговая точка,Склад,Основание,Наименование товара из документа,ЕГАИС,Меркурий,Честный знак,Наименование товара в УС,Товар найден в справочнике,Ед.изм.,Кол-во из документа,Цена за единицу,Стоимость без НДС,Ставка НДС %,Сумма НДС,Общая стоимость,Сумма накладной,Ед.изм. в УС,Кол-во в УС,Цена в УС,Дата приема,"Принял, Ф.И.О.",Кол-во в заявке,Цена по прайсу,Последняя дата поставки,Последняя цена,Отклонение от цены прайса,Загрузить в УС,Статус,Причина ручной корректировки
2026-06-28 20:44:20,1,,УПД,2026-06-23,1928,"ООО ""ФРУКТЫ АРИФА""",3900040690,"ООО ""ЛИР""","ООО ""ЛИР""","ООО ""ЛИР""",,передачи (сдачи) / получения (приемки),Еноки вес,,,,,,шт,16.0,2.0,2.0,3.0,4.0,6.0,3906408271.0,шт,,,,,,,,,,,,
,,,,,,,,,,,,,кг,,,,,,шт,3.14,650.0,2041.0,,,2041.0,,шт,,,,,,,,,,,,
,,,,,,,,,,,,,10а,,,,,,шт,390001001.0,13.0,18.0,14.0,3906406206.0,3906406224.0,,шт,,,,,,,,,,,,

