АвтоСнаб Накладные

Накладные
Время загрузки документа,ID документа,Индикатор дубля документа,Форма документа,Дата документа,№ Документа,Поставщик,ИНН Поставщика,Грузополучатель,Получатель,Торговая точка,Склад,Основание,Наименование товара из документа,ЕГАИС,Меркурий,Честный знак,Наименование товара в УС,Товар найден в справочнике,Ед.изм.,Кол-во из документа,Цена за единицу,Стоимость без НДС,Ставка НДС %,Сумма НДС,Общая стоимость,Сумма накладной,Ед.изм. в УС,Кол-во в УС,Цена в УС,Дата приема,"Принял, Ф.И.О.",Кол-во в заявке,Цена по прайсу,Последняя дата поставки,Последняя цена,Отклонение от цены прайса,Загрузить в УС,Статус,Причина ручной корректировки
2026-06-28 20:08:51,1,,ТОРГ-12,2026-06-22,,"ФИЛИАЛ СЕВЕРО-ЗАПАДНЫЙ ПАО БАНК ""ФК ОТКРЫТИЕ"", БИК 044030795, к/с 30101810540300000795 организация, адрес, телефон, факс, банковские реквизиты",3920007884,"ООО, ИНН 3906406206, р/с 40702810132560000673, в банке ФИЛИАЛ ""САНКТ-ПЕТЕРБУРГСКИЙ"" АО ""АЛЬФА-БАНК"", БИК 044030786, к/с","ООО, ИНН 3906406206, р/с 40702810132560000673, в банке ФИЛИАЛ ""САНКТ-ПЕТЕРБУРГСКИЙ"" АО ""АЛЬФА-БАНК"", БИК 044030786, к/с","ООО, ИНН 3906406206, р/с 40702810132560000673, в банке ФИЛИАЛ ""САНКТ-ПЕТЕРБУРГСКИЙ"" АО ""АЛЬФА-БАНК"", БИК 044030786, к/с",,по ОКПО,"Колбаса ""Итальянская Мортаделла"" вар. 6598 4100",,,,,,шт,7.0,99.33,695.3,23.87,166.0,861.3,13294.3,шт,,,,,,,,,,,,
,,,,2026-06-22,,"ФИЛИАЛ СЕВЕРО-ЗАПАДНЫЙ ПАО БАНК ""ФК ОТКРЫТИЕ"", БИК 044030795, к/с 30101810540300000795 организация, адрес, телефон, факс, банковские реквизиты",3920007884,"ООО, ИНН 3906406206, р/с 40702810132560000673, в банке ФИЛИАЛ ""САНКТ-ПЕТЕРБУРГСКИЙ"" АО ""АЛЬФА-БАНК"", БИК 044030786, к/с","ООО, ИНН 3906406206, р/с 40702810132560000673, в банке ФИЛИАЛ ""САНКТ-ПЕТЕРБУРГСКИЙ"" АО ""АЛЬФА-БАНК"", БИК 044030786, к/с","ООО, ИНН 3906406206, р/с 40702810132560000673, в банке ФИЛИАЛ ""САНКТ-ПЕТЕРБУРГСКИЙ"" АО ""АЛЬФА-БАНК"", БИК 044030786, к/с",,по ОКПО,Macca,,,,,,шт,9.0,892.8,8035.2,10.72,861.3,8896.5,13294.3,шт,,,,,,,,,,,,
,,,,2026-06-22,,"ФИЛИАЛ СЕВЕРО-ЗАПАДНЫЙ ПАО БАНК ""ФК ОТКРЫТИЕ"", БИК 044030795, к/с 30101810540300000795 организация, адрес, телефон, факс, банковские реквизиты",3920007884,"ООО, ИНН 3906406206, р/с 40702810132560000673, в банке ФИЛИАЛ ""САНКТ-ПЕТЕРБУРГСКИЙ"" АО ""АЛЬФА-БАНК"", БИК 044030786, к/с","ООО, ИНН 3906406206, р/с 40702810132560000673, в банке ФИЛИАЛ ""САНКТ-ПЕТЕРБУРГСКИЙ"" АО ""АЛЬФА-БАНК"", БИК 044030786, к/с","ООО, ИНН 3906406206, р/с 40702810132560000673, в банке ФИЛИАЛ ""САНКТ-ПЕТЕРБУРГСКИЙ"" АО ""АЛЬФА-БАНК"", БИК 044030786, к/с",,по ОКПО,"Окорок ""Пармский"" с/к",,,,,,шт,9.0,335.25,3017.24,17.21,519.26,3536.5,13294.3,шт,,,,,,,,,,,,

