АвтоСнаб Накладные

Накладные
Время загрузки документа,ID документа,Индикатор дубля документа,Форма документа,Дата документа,№ Документа,Поставщик,ИНН Поставщика,Грузополучатель,Получатель,Торговая точка,Склад,Основание,Наименование товара из документа,ЕГАИС,Меркурий,Честный знак,Наименование товара в УС,Товар найден в справочнике,Ед.изм.,Количество,Цена за единицу,Стоимость без НДС,Ставка НДС %,Сумма НДС,Общая стоимость,Сумма накладной,Ед.изм. в УС,Кол-во в УС,Цена в УС,Дата приема,"Принял, Ф.И.О.",Кол-во в заявке,Цена по прайсу,Последняя дата поставки,Последняя цена,Отклонение от цены прайса,Загрузить в УС,Статус,Причина ручной корректировки
2026-06-26 12:18:21,1,,ТОРГ-12,,3-0517-2,,,,,,,,Сетевой коммутатор 8-портовый,,,,,,шт,1.0,3389.83,3389.83,18.0,610.17,4000.0,28700.0,шт,1.0,3389.83,,,,,,,,,,
2026-06-26 12:18:21,1,,ТОРГ-12,,3-0517-2,,,,,,,,Сетевой коммутатор 16-портовый,,,,,,шт,2.0,2203.39,4406.78,18.0,793.22,5200.0,28700.0,шт,2.0,2203.39,,,,,,,,,,
2026-06-26 12:18:21,1,,ТОРГ-12,,3-0517-2,,,,,,,,Точки доступа 6)-F1,,,,,,шт,3.0,5508.47,16525.42,18.0,2974.58,19500.0,28700.0,шт,3.0,5508.47,,,,,,,,,,

